PLTID,ANNPRE,ANNTMP,AUGMAXT,DECMINT,SMRTP,LAT,LON,ASPTR,DEM,PRR,SLPPCT,TPI150,TPI300,TPI450,TC1,TC2,TC3,NBR
156752,714,1083,2733,35,302,4370,-12278,193,332,15844,5,0,-25,-46,1703,1275,-734,751
156769,747,1092,2838,7,299,4340,-12289,119,420,12533,23,-9,-9,-29,1955,1283,-1049,467
156820,679,675,2690,-639,282,4272,-12209,195,1354,12185,29,-4,-19,-23,1529,1185,-452,766
156827,752,1110,2983,25,311,4415,-12234,100,314,16059,1,0,0,-1,1873,1553,-677,712
156829,760,949,2728,-154,276,4415,-12213,148,749,6050,53,-1,33,45,1103,837,-104,812
156831,683,726,2443,-399,271,4525,-12146,100,1122,17325,11,0,-4,-4,1909,1371,-674,686
156833,768,885,2559,-116,256,4430,-12217,117,874,14273,21,-2,-5,-20,1701,1380,-197,766
156835,778,927,2612,-94,259,4387,-12232,172,934,12181,17,7,9,15,2151,1561,-462,640
156836,751,1040,2761,-35,290,4395,-12248,163,513,15755,34,12,38,34,1570,1217,-293,714
156839,743,765,2439,-259,243,4503,-12199,66,1024,18855,36,-1,-15,3,2128,1642,-385,781
156844,771,306,2040,-768,157,4370,-12194,150,1978,17063,16,2,8,17,1570,786,-691,406
156846,661,607,2540,-678,258,4370,-12184,5,1384,16873,3,0,0,-2,1780,615,-1812,78
156868,680,620,2548,-655,253,4384,-12177,100,1383,16721,0,0,0,0,2665,344,-2288,-66
156870,772,555,2276,-575,201,4400,-12176,81,1680,16489,3,-1,-4,0,1612,923,-472,480
156884,742,1039,2681,10,290,4390,-12258,0,479,17757,28,2,7,-5,2099,1875,-152,785
156887,722,955,2790,-149,288,4299,-12253,16,1111,18441,20,0,-13,-10,1558,1234,-204,745
156888,771,798,2434,-191,239,4459,-12199,0,1119,17923,23,8,20,33,1800,1689,-158,841
156889,741,696,2541,-430,231,4328,-12219,91,1429,18846,32,-2,-5,-20,2316,1830,-295,759
156890,736,1034,2765,-17,284,4356,-12252,13,804,19067,71,3,-15,-52,1686,1291,-247,737
156892,755,563,2227,-441,197,4368,-12211,17,1602,16988,46,-4,-25,-22,1185,526,-805,244
156893,724,866,2673,-241,267,4316,-12238,34,1116,15535,32,-2,-7,-15,2130,1820,-351,745
156894,751,472,1951,-500,188,4537,-12153,11,1623,15814,5,5,23,45,1899,1052,-903,385
156899,758,751,2447,-292,231,4339,-12252,88,1350,8822,64,-1,-15,-59,1059,769,-236,657
156900,663,662,2429,-437,260,4448,-12158,200,1375,16176,4,0,0,0,2102,561,-1202,169
156903,729,846,2645,-202,266,4302,-12259,0,1372,17973,26,0,18,50,1589,1221,-264,744
156908,618,729,2812,-643,319,4261,-12192,5,1289,16799,4,1,3,3,2128,1018,-880,421
